regionID,regionName,parentID
country_IN,INDIA,
district_603,NICOBARS,ut_35
district_490,PUNE,state_27
district_524,BAGALKOTE,state_29
district_632,NORTH AND MIDDLE ANDAMAN,ut_35
district_525,BENGALURU URBAN,state_29
district_602,SOUTH ANDAMANS,ut_35
district_526,BENGALURU RURAL,state_29
district_745,ALLURI SITHARAMA RAJU,state_28
district_744,ANAKAPALLI,state_28
district_527,BELAGAVI,state_29
district_528,BALLARI,state_29
district_502,ANANTHAPURAMU,state_28
district_753,ANNAMAYYA,state_28
district_529,BIDAR,state_29
district_750,BAPATLA,state_28
district_530,VIJAYAPURA,state_29
district_531,CHAMARAJANAGARA,state_29
district_503,CHITTOOR,state_28
district_747,DR. B.R. AMBEDKAR KONASEEMA,state_28
district_532,CHIKKAMAGALURU,state_29
district_533,CHITRADURGA,state_29
district_505,EAST GODAVARI,state_28
district_534,DAKSHINA KANNADA,state_29
district_748,ELURU,state_28
district_535,DAVANGERE,state_29
district_506,GUNTUR,state_28
district_536,DHARWAD,state_29
district_746,KAKINADA,state_28
district_510,KRISHNA,state_28
district_537,GADAG,state_29
district_511,KURNOOL,state_28
district_538,KALABURAGI,state_29
district_755,NANDYAL,state_28
district_539,HASSAN,state_29
district_749,NTR,state_28
district_540,HAVERI,state_29
district_751,PALNADU,state_28
district_541,KODAGU,state_29
district_743,PARVATHIPURAM MANYAM,state_28
district_542,KOLAR,state_29
district_517,PRAKASAM,state_28
district_543,KOPPAL,state_29
district_544,MANDYA,state_29
district_519,SRIKAKULAM,state_28
district_545,MYSURU,state_29
district_515,SRI POTTI SRIRAMULU NELLORE,state_28
district_754,SRI SATHYA SAI,state_28
district_546,RAICHUR,state_29
district_752,TIRUPATI,state_28
district_547,SHIVAMOGGA,state_29
district_520,VISAKHAPATNAM,state_28
district_548,TUMAKURU,state_29
district_549,UDUPI,state_29
district_521,VIZIANAGARAM,state_28
district_550,UTTARA KANNADA,state_29
district_523,WEST GODAVARI,state_28
district_504,Y.S.R.,state_28
district_630,CHIKKABALLAPURA,state_29
district_628,ANJAW,state_12
district_631,RAMANAGARA,state_29
district_635,YADGIR,state_29
district_787,BICHOM,state_12
district_229,CHANGLANG,state_12
district_738,VIJAYANAGAR,state_29
district_230,DIBANG VALLEY,state_12
prabhag_251530-1,DHANORI - VISHRANTWADI,ulb_251530
prabhag_251530-10,SHIVAJINAGAR GAOTHAN - SANGAMWADI,ulb_251530
district_231,EAST KAMENG,state_12
district_232,EAST SIANG,state_12
prabhag_251530-11,BOPODI - PUNE UNIVERSITY,ulb_251530
prabhag_251530-12,AUNDH - BALEWADI,ulb_251530
district_718,KAMLE,state_12
district_786,KEYI PANYOR,state_12
prabhag_251530-13,BANER - SUS MHALUNGE,ulb_251530
prabhag_251530-14,PASHAN - BAVDHAN BUDRUK,ulb_251530
district_677,KRA DAADI,state_12
district_233,KURUNG KUMEY,state_12
prabhag_251530-15,PANCHAVATI - GOKHALE NAGAR,ulb_251530
prabhag_251530-16,FERGUSSON COLLEGE - ERANDWANE,ulb_251530
district_458,SABAR KANTHA,state_24
district_724,LEPARADA,state_12
prabhag_251530-17,SHANIWAR PETH - RAJENDRANAGAR,ulb_251530
prabhag_251530-18,SHANIWAR WADA - KASBA PETH,ulb_251530
district_234,LOHIT,state_12
district_666,LONGDING,state_12
prabhag_251530-19,RASTA PETH - KEM HOSPITAL,ulb_251530
prabhag_251530-2,TINGRE NAGAR - SANJAY PARK,ulb_251530
district_235,LOWER DIBANG VALLEY,state_12
district_719,LOWER SIANG,state_12
prabhag_251530-20,PUNE STATION - TADIWALA ROAD,ulb_251530
district_236,LOWER SUBANSIRI,state_12
prabhag_251530-21,MUNDHWA - GHORPADI,ulb_251530
prabhag_251530-22,MANJRI - SHEWALWADI,ulb_251530
district_678,NAMSAI,state_12
district_723,PAKKE KESSANG,state_12
prabhag_251530-23,SADESATARANALI - AKASHWANI,ulb_251530
prabhag_251530-24,MAGARPATTA - SADHANA VIDYALAYA,ulb_251530
district_237,PAPUM PARE,state_12
district_725,SHI YOMI,state_12
prabhag_251530-25,HADAPSAR GAOTHAN - SATAVWADI,ulb_251530
prabhag_251530-26,BHEEM NAGAR -RAMTEKDI,ulb_251530
district_679,SIANG,state_12
prabhag_251530-27,KASEWADI - HARAKANAGAR,ulb_251530
district_238,TAWANG,state_12
district_239,TIRAP,state_12
prabhag_251530-28,MAHATMA PHULE MONUMENT - TIMBER MARKET,ulb_251530
prabhag_251530-29,KHADAKMAL LANE - MAHATMA PHULE MANDAI,ulb_251530
district_240,UPPER SIANG,state_12
prabhag_251530-3,LOHGAON - VIMAN NAGAR,ulb_251530
district_241,UPPER SUBANSIRI,state_12
district_242,WEST KAMENG,state_12
prabhag_251530-30,JAI BHAVANI NAGAR - KELEWADI,ulb_251530
prabhag_251530-31,KOTHRUD GAOTHAN - SHIVTIRTH NAGAR,ulb_251530
district_243,WEST SIANG,state_12
district_739,BAJALI,state_18
prabhag_251530-32,BHUSARI COLONY - SUTARDARA,ulb_251530
prabhag_251530-33,BAVDHAN KHURD - MAHATMA SOCIETY,ulb_251530
district_616,BAKSA,state_18
district_280,BARPETA,state_18
prabhag_251530-34,WARJE - KONDHWE DHAWADE,ulb_251530
prabhag_251530-35,RAMNAGAR - UTTAM NAGAR SHIVANE,ulb_251530
district_705,BISWANATH,state_18
prabhag_251530-36,KARVE NAGAR,ulb_251530
district_281,BONGAIGAON,state_18
prabhag_251530-37,JANATA VASAHAT - DATTAWADI,ulb_251530
district_282,CACHAR,state_18
district_708,CHARAIDEO,state_18
prabhag_251530-38,SHIVDARSHAN - PADMAVATI,ulb_251530
district_612,CHIRANG,state_18
prabhag_251530-39,MARKET YARD - MAHARSHI NAGAR,ulb_251530
prabhag_251530-4,WAGHOLI - EON IT PARK,ulb_251530
district_283,DARRANG,state_18
district_284,DHEMAJI,state_18
prabhag_251530-40,GANGADHAM - SALISBURY PARK,ulb_251530
prabhag_251530-41,KONDHWA KHURD - MITHANAGAR,ulb_251530
district_285,DHUBRI,state_18
district_286,DIBRUGARH,state_18
prabhag_251530-42,SAYYAD NAGAR - LULLANAGAR,ulb_251530
prabhag_251530-43,WANAWADI - KAUSAR BAUG,ulb_251530
district_299,DIMA HASAO,state_18
district_287,GOALPARA,state_18
prabhag_251530-44,KALEPADAL - SASANE NAGAR,ulb_251530
prabhag_251530-45,PHURSUNGI,ulb_251530
district_288,GOLAGHAT,state_18
prabhag_251530-46,MOHAMMADWADI - URULI DEVACHI,ulb_251530
district_289,HAILAKANDI,state_18
prabhag_251530-47,KONDHWA BUDRUK - YEOLEWADI,ulb_251530
district_709,HOJAI,state_18
prabhag_251530-48,UPPER SUPER INDIRA NAGAR,ulb_251530
district_290,JORHAT,state_18
district_291,KAMRUP,state_18
prabhag_251530-49,BALAJI NAGAR - KK MARKET,ulb_251530
prabhag_251530-5,KHARADI - CHANDAN NAGAR,ulb_251530
district_618,KAMRUP METRO,state_18
district_292,KARBI ANGLONG,state_18
prabhag_251530-50,SAHAKARNAGAR - TALJAI,ulb_251530
district_293,KARIMGANJ,state_18
prabhag_251530-51,VADGAON - PACHGAON PARVATI,ulb_251530
prabhag_251530-52,NANDED CITY - SUNCITY,ulb_251530
district_294,KOKRAJHAR,state_18
prabhag_251530-53,KHADAKWASLA - NARHE,ulb_251530
district_295,LAKHIMPUR,state_18
prabhag_251530-54,DHAYARI - AMBEGAON,ulb_251530
district_706,MAJULI,state_18
district_296,MARIGAON,state_18
prabhag_251530-55,DHANKAWADI - AMBEGAON PATHAR,ulb_251530
district_297,NAGAON,state_18
prabhag_251530-56,CHAITANYA NAGAR - BHARATI VIDYAPEETH,ulb_251530
prabhag_251530-57,SUKHSAGAR NAGAR - RAJIV GANDHI NAGAR,ulb_251530
district_298,NALBARI,state_18
prabhag_251530-58,KATRAJ - GOKUL NAGAR,ulb_251530
district_300,SIVASAGAR,state_18
prabhag_251530-6,VADGAON SHERI,ulb_251530
district_301,SONITPUR,state_18
district_707,SOUTH SALMARA MANCACHAR,state_18
prabhag_251530-7,KALYANI NAGAR - NAGPUR CHAWL,ulb_251530
district_756,TAMULPUR,state_18
prabhag_251530-8,KALAS - PHULE NAGAR,ulb_251530
district_302,TINSUKIA,state_18
prabhag_251530-9,YERAWADA,ulb_251530
state_27,MAHARASHTRA,country_IN
district_617,UDALGURI,state_18
state_29,KARNATAKA,country_IN
district_710,WEST KARBI ANGLONG,state_18
subdistrict_5433,CHIKODI,district_527
district_188,ARARIA,state_10
subdistrict_5434,ATHNI,district_527
district_611,ARWAL,state_10
district_189,AURANGABAD,state_10
subdistrict_5435,RAYBAG,district_527
subdistrict_5436,GOKAK,district_527
district_190,BANKA,state_10
district_191,BEGUSARAI,state_10
subdistrict_5437,HUKERI,district_527
subdistrict_5438,BELAGAVI,district_527
district_192,BHAGALPUR,state_10
district_193,BHOJPUR,state_10
subdistrict_5439,KHANAPUR,district_527
district_194,BUXAR,state_10
subdistrict_5440,BAILAHONGALA,district_527
subdistrict_5441,SAVADATTI,district_527
district_195,DARBHANGA,state_10
district_196,GAYA,state_10
subdistrict_5442,RAMDURG,district_527
district_197,GOPALGANJ,state_10
subdistrict_5443,JAMKHANDI,district_524
district_198,JAMUI,state_10
subdistrict_5444,BILGI,district_524
district_199,JEHANABAD,state_10
subdistrict_5445,MUDHOL,district_524
subdistrict_5446,BADAMI,district_524
district_200,KAIMUR (BHABUA),state_10
