metadata.recordID,country.ID,country.name,location.admin.hierarchy,state.ID,state.name,district.ID,district.name,population.cattle,population.buffalo,population.goat,population.sheep,population.pig,population.poultry
8ecd56d3-dc48-48b3-8f3c-0456ea758df3,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_524,BAGALKOTE,222823,234340,383926,622856,20458,1703285
99323e6e-b6c0-42b6-bd12-24d0887b1e39,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_528,BALLARI,343275,159107,298232,1272828,15395,1843975
bef55ce5-a949-4b7b-9cbe-4ddac512110c,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_527,BELAGAVI,549540,844171,701741,757679,21784,2648732
94f4624e-7f79-4c59-832d-9655741f9a68,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_526,BENGALURU RURAL,170722,16924,95156,118788,14131,7145341
0ab01461-c71d-46f6-a0c9-4eab0e72d3c1,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_525,BENGALURU URBAN,153861,11168,62464,82873,28046,1302173
083c9e97-6202-4fe0-aff4-d7e4afb1249a,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_529,BIDAR,173634,125510,182854,85948,20838,734095
f3be03e7-b447-4170-a8ab-86826e5c2ca4,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_531,CHAMARAJANAGARA,249361,9918,144633,135321,1572,726104
3a3279d5-590e-4851-9ed2-84cbe4645e48,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_630,CHIKKABALLAPURA,213815,26397,188392,613193,2481,2382658
9fd7103a-5971-4129-a690-49949ce6033a,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_532,CHIKKAMAGALURU,290007,34362,41040,97962,1423,2336685
1c4fe2dc-245d-4a2b-8775-1847bd913ffe,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_533,CHITRADURGA,225603,113304,385058,1352087,2177,1741574
dada599e-408a-4d6f-ade7-555b60a00fd1,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_534,DAKSHINA KANNADA,250569,1832,32215,289,6359,2595523
71e925d0-5e83-45df-a775-4711e4c66b02,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_535,DAVANGERE,237801,91896,79429,238367,2117,2505966
60a94dc0-13e1-4271-9eae-9d942d965420,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_536,DHARWAD,172219,61245,74069,79869,4168,1460262
88f3621e-c62c-401f-90b9-3fce4dd084de,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_537,GADAG,136311,55798,191656,395899,14258,416130
058573ce-4dc5-4c3d-9355-3e481aac27c6,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_539,HASSAN,548185,107971,129058,199387,1946,2353284
ec998346-4b82-461d-815b-783578126fc2,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_540,HAVERI,261060,85501,144969,313205,3347,384290
63a4cf41-607e-4f57-b311-3e6e2befbe28,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_538,KALABURAGI,385580,73176,446200,112387,44221,382911
1c82627f-d936-4722-ada7-e9b2c58a2b46,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_541,KODAGU,71684,5236,7603,650,8365,184597
311c9e94-eef3-4ff7-8337-c6425dfb5ea8,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_542,KOLAR,209642,26520,93713,483892,5292,8607729
4a308586-4ba9-41f3-91c3-a4bf31b59c36,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_543,KOPPAL,231413,63467,172578,625367,8651,4008826
5f1e6e5c-de15-4d4a-abf6-d07306239fd4,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_544,MANDYA,369986,109443,346430,347133,9408,2185469
efb39b7b-5215-4d8c-83a5-a7a72657e8f9,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_545,MYSURU,492598,21682,208206,203463,7349,3095800
45d067b1-9b92-46a5-ab13-c5e77a8e0a6e,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_546,RAICHUR,245374,112420,282718,657633,16384,397976
cf72422b-88e0-4797-9f41-14724aecd9a6,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_631,RAMANAGARA,287502,19644,150130,127988,7102,2356885
08483b9c-bec6-40d7-b524-713245e450d8,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_547,SHIVAMOGGA,518653,120563,59719,42526,6160,2066027
a0a924bb-bdff-4b22-892b-f8687f86cac2,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_548,TUMAKURU,431251,142047,427926,1290008,5956,1628178
319f43e7-2246-49e9-be05-319025a81fb3,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_549,UDUPI,254776,2408,2676,431,3289,1143010
6b21af05-0557-4c22-bc46-e5f1e8894525,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_550,UTTARA KANNADA,336312,73993,10655,8537,1193,557455
008ad00f-2877-4663-a97f-e7049f5e745d,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_530,VIJAYAPURA,202111,177079,569098,347070,19462,273409
665b858f-f8f0-40d8-867f-8360806f7dc6,country_IN,INDIA,REVENUE,state_29,KARNATAKA,district_635,YADGIR,233336,57438,256848,437092,20504,326132
