metadata.recordID,country.ID,country.name,location.admin.hierarchy,state.ID,state.name,district.ID,district.name,metadata.category,metadata.type,population.cocks ,population.hens ,population.chickens ,population.drakes,population.ducks,population.ducklings,population.turkey,population.quails,population.poultryBirds
7dc593ec-9349-4c1b-81bd-89b96a4ef20d,country_IN,India,Revenue,state_27,Maharashtra,district_482,Mumbai,Commercial,Indigenous,376,1623,2652,28,7,60,,,
cf3a7dfa-b653-4580-8313-d712d6642a86,country_IN,India,Revenue,state_27,Maharashtra,district_497,Thane,Commercial,Indigenous,33371,70937,250668,21,41,18,,,
ada4aa25-71b9-4e4a-9400-153fa7ebc712,country_IN,India,Revenue,state_27,Maharashtra,district_665,Palghar,Commercial,Indigenous,3270,120532,22124,0,0,0,,,
b81ab9ba-11e5-4149-a073-929d738d2983,country_IN,India,Revenue,state_27,Maharashtra,district_491,Raigad,Commercial,Indigenous,19750,43526,441207,4,14,0,,,
fc54d536-b1cc-4523-9de5-78fa9d3d0e4b,country_IN,India,Revenue,state_27,Maharashtra,district_492,Ratnagiri,Commercial,Indigenous,1382,6284,2350,0,0,0,,,
084cb87f-4322-42d2-85cd-20bdd5f3faa4,country_IN,India,Revenue,state_27,Maharashtra,district_495,Sindhudurg,Commercial,Indigenous,637,1012,7100,0,0,0,,,
82224080-edae-4aa1-911f-6e2e30236830,country_IN,India,Revenue,state_27,Maharashtra,district_487,Nashik,Commercial,Indigenous,63564,396968,204500,13,18,12,,,
8d27962d-1c81-4bee-88c4-c15ab8fb368c,country_IN,India,Revenue,state_27,Maharashtra,district_474,Dhule,Commercial,Indigenous,56591,77861,6019,0,0,0,,,
f3a83493-cc93-4494-b979-48e6447b8b7a,country_IN,India,Revenue,state_27,Maharashtra,district_486,Nandurbar,Commercial,Indigenous,62,75078,118,0,0,0,,,
ebb51108-bfe0-4bcf-b6c5-ce94f94031a0,country_IN,India,Revenue,state_27,Maharashtra,district_478,Jalgaon,Commercial,Indigenous,507,1091,1219,0,0,0,,,
4e5fc0e2-44e2-465b-8ef0-02ce980f172c,country_IN,India,Revenue,state_27,Maharashtra,district_466,Ahmednagar,Commercial,Indigenous,121276,555459,626183,4,21,0,,,
3658295e-9c0d-4667-a8d6-11b62ae4667e,country_IN,India,Revenue,state_27,Maharashtra,district_490,Pune,Commercial,Indigenous,61427,264579,242409,45,48,18,,,
16ce6664-bb51-429b-8041-b6349d31afc0,country_IN,India,Revenue,state_27,Maharashtra,district_494,Satara,Commercial,Indigenous,13416,88219,32765,0,0,0,,,
c640084b-45ac-4325-862b-2062ff483319,country_IN,India,Revenue,state_27,Maharashtra,district_493,Sangli,Commercial,Indigenous,26299,58102,84266,0,0,0,,,
829afa6e-0bc1-4392-99de-c0c7d36d9e80,country_IN,India,Revenue,state_27,Maharashtra,district_496,Solapur,Commercial,Indigenous,10707,17469,105547,1,0,1,,,
84ee2794-7c78-41e8-8ce1-4d4efae83997,country_IN,India,Revenue,state_27,Maharashtra,district_480,Kolhapur,Commercial,Indigenous,43663,25830,164149,0,0,0,,,
2952076b-3a55-448d-95bc-452218c9ff8d,country_IN,India,Revenue,state_27,Maharashtra,district_469,Chhatrapati Sambhajinagar,Commercial,Indigenous,5421,8935,8652,9,8,11,,,
39f03448-a259-466e-9ad8-1985c31bd00d,country_IN,India,Revenue,state_27,Maharashtra,district_479,Jalna,Commercial,Indigenous,121,325,315,0,0,0,,,
e0ffec1a-db10-4ffc-8869-b49ea6af9659,country_IN,India,Revenue,state_27,Maharashtra,district_489,Parbhani,Commercial,Indigenous,53,180,20,0,0,0,,,
e1582cf0-0fc0-4703-b83c-8fc41f3e53c1,country_IN,India,Revenue,state_27,Maharashtra,district_470,Beed,Commercial,Indigenous,10663,32400,69033,1,0,0,,,
ecefacb2-828e-4a5e-ade0-ad1d18f3ec6a,country_IN,India,Revenue,state_27,Maharashtra,district_481,Latur,Commercial,Indigenous,521,33398,165700,0,0,0,,,
903fa1dd-9f30-459e-b641-aab835adee83,country_IN,India,Revenue,state_27,Maharashtra,district_488,Dharashiv,Commercial,Indigenous,1002,51,2009,0,0,0,,,
b21b6b03-d710-49b4-b144-8fd19f597227,country_IN,India,Revenue,state_27,Maharashtra,district_485,Nanded,Commercial,Indigenous,6317,7662,4219,6,8,4,,,
5b69efdc-3ef1-440a-aaae-bad4a960c612,country_IN,India,Revenue,state_27,Maharashtra,district_477,Hingoli,Commercial,Indigenous,235,91,345,29,20,3,,,
fc0a10b6-ddfb-44ee-bbd6-46e1ac4ca7a5,country_IN,India,Revenue,state_27,Maharashtra,district_468,Amravati,Commercial,Indigenous,36611,37637,35239,15,21,14,,,
99f27b28-c72a-4688-9a5f-d6b1cdd3b472,country_IN,India,Revenue,state_27,Maharashtra,district_467,Akola,Commercial,Indigenous,301,262,34,0,0,0,,,
152c6b76-3c56-4d70-9efd-40abfbda2097,country_IN,India,Revenue,state_27,Maharashtra,district_499,Washim,Commercial,Indigenous,6010,6600,9050,0,0,0,,,
b708615d-a2e2-4831-98ab-306afacaf5ce,country_IN,India,Revenue,state_27,Maharashtra,district_472,Buldhana,Commercial,Indigenous,6574,9099,165,0,0,0,,,
7874a148-57f6-4de1-bd06-50f1b9adf040,country_IN,India,Revenue,state_27,Maharashtra,district_500,Yavatmal,Commercial,Indigenous,14348,100903,34997,0,0,0,,,
237c5c18-064b-400e-9221-3cfd17431369,country_IN,India,Revenue,state_27,Maharashtra,district_484,Nagpur,Commercial,Indigenous,553,175471,22608,12,20,1,,,
4ecafe1b-137c-494d-bfce-1f44248c1e8d,country_IN,India,Revenue,state_27,Maharashtra,district_498,Wardha,Commercial,Indigenous,201,282,15194,2,4,0,,,
6dd1640e-664c-4a1b-b653-851fe951cab0,country_IN,India,Revenue,state_27,Maharashtra,district_471,Bhandara,Commercial,Indigenous,634,923,4897,0,0,0,,,
e71ca1b4-b8ac-4dec-8f76-2e234bbadd3b,country_IN,India,Revenue,state_27,Maharashtra,district_476,Gondia,Commercial,Indigenous,3079,41782,6463,0,5,1,,,
e8d6ea65-c78f-4763-b868-e9977de27ce2,country_IN,India,Revenue,state_27,Maharashtra,district_473,Chandrapur,Commercial,Indigenous,213,543,263,1,5,0,,,
074bf6bb-2079-417a-8d9a-bb369c1d44b8,country_IN,India,Revenue,state_27,Maharashtra,district_475,Gadchiroli,Commercial,Indigenous,327,426,1302,3,279,0,,,
51affeaa-aba1-4d38-a451-ebdfecaf5528,country_IN,India,Revenue,state_27,Maharashtra,district_482,Mumbai,Commercial,Improved,497,2959,0,0,0,0,,,
