state.id,state.name,population.bovine.rural.male,population.bovine.rural.female,population.bovine.rural.total,population.bovine.urban.male,population.bovine.urban.female,population.bovine.urban.total
ut_35,Andaman And Nicobar Islands,10739,27177,37916,160,2062,2222
state_28,Andhra Pradesh,1534114,8863553,10397667,39475,382444,421919
state_12,Arunachal Pradesh,300613,402405,703018,5633,11178,16811
state_18,Assam,3336217,7769490,11105707,41488,183759,225247
state_10,Bihar,1784597,20569033,22353630,30822,733322,764144
ut_4,Chandigarh,577,8350,8927,2793,13897,16690
state_22,Chhattisgarh,5077496,5636470,10713966,122948,321762,444710
ut_7,Delhi,32678,207118,239796,2190,6589,8779
state_30,Goa,16480,62460,78940,1601,6913,8514
state_24,Gujarat,2451959,16937981,19389940,68261,718686,786947
state_6,Haryana,684324,5142707,5827031,64574,405100,469674
state_2,Himachal Pradesh,496700,1950938,2447638,2930,25954,28884
ut_1,Jammu And Kashmir,532650,2623060,3155710,12986,87606,100592
state_20,Jharkhand,5085862,7098829,12184691,47511,341163,388674
state_29,Karnataka,1946436,8854383,10800819,93073,559672,652745
state_32,Kerala,189211,1126454,1315665,17900,109935,127835
ut_31,Lakshadweep,785,1724,2509,0,0,0
state_23,Madhya Pradesh,6926370,20743505,27669875,173679,1214405,1388084
state_27,Maharashtra,5210622,13687101,18897723,95675,602598,698273
state_14,Manipur,83184,154515,237699,3878,28184,32062
state_17,Meghalaya,350974,560091,911065,2606,5613,8219
state_15,Mizoram,13277,25157,38434,2498,10835,13333
state_13,Nagaland,56910,52806,109716,2147,5210,7357
state_21,Odisha,4212941,5822043,10034984,53779,273531,327310
ut_34,Puducherry,3012,54310,57322,1683,15374,17057
state_3,Punjab,315283,5784157,6099440,32289,415678,447967
state_8,Rajasthan,2888429,23629843,26518272,117856,994818,1112674
state_11,Sikkim,35789,116183,151972,420,1981,2401
state_33,Tamil Nadu,719377,8193335,8912712,95619,1029124,1124743
state_36,Telangana,1868878,6277374,8146252,40156,272437,312593
ut_38,The Dadra And Nagar Haveli And Daman And Diu,26772,14088,40860,830,1257,2087
state_16,Tripura,122325,585903,708228,2180,35754,37934
state_9,Uttar Pradesh,4394019,45136056,49530075,158580,2347771,2506351
state_5,Uttarakhand,536076,1998450,2534526,14519,169450,183969
state_19,West Bengal,4383694,14792452,19176146,51612,481140,532752
