state.id,state.name,species,location_type,population.male.upto2years,population.male.used_for_breeding_only,population.male.used_for_agriculture_only,population.male.used_for_agriculture_and_breeding_only,population.male.used_for_bullock_cart_or_farm_operation,population.male.others,population.male.total,population.female.upto1year,population.female.1to3years,population.female.in_milk,population.female.dry,population.female.not_calved_once,population.female.others,population.female.total,population.total
ut_35,Andaman And Nicobar Islands,buffalo,rural,61,9,0,0,0,4,74,298,288,494,494,48,16,1638,3544
state_28,Andhra Pradesh,buffalo,rural,3052,780,4211,874,1860,493,11270,1338255,1144628,2039649,596526,249553,125032,5493643,5937096
state_12,Arunachal Pradesh,buffalo,rural,899,387,480,60,14,117,1957,600,719,982,595,417,231,3544,6352
state_18,Assam,buffalo,rural,12669,3046,12834,2075,949,1632,33205,70463,62976,85465,34657,9907,7786,271254,419514
state_10,Bihar,buffalo,rural,8654,2131,2677,1305,651,471,15889,1901822,1599830,2326340,947690,191031,110600,7077313,7532579
ut_4,Chandigarh,buffalo,rural,350,6,2,4,22,1096,1480,1121,528,3082,532,27,20,5310,5596
state_22,Chhattisgarh,buffalo,rural,44067,5289,42002,4753,1747,2622,100480,106896,98841,159142,133812,46899,6093,551683,1103850
ut_7,Delhi,buffalo,rural,34,8,2,0,0,10,54,29481,15718,76967,11866,2016,1352,137400,157442
state_30,Goa,buffalo,rural,237,107,68,53,27,350,842,3701,3563,6970,3315,1078,186,18813,22983
state_24,Gujarat,buffalo,rural,23747,3310,8785,531,1680,4459,42512,2040681,2167320,3675903,1439796,296025,50498,9670223,10182407
state_6,Haryana,buffalo,rural,13590,2054,1044,359,2450,13211,32708,883221,898313,1441562,379653,126614,18289,3747652,4128271
state_2,Himachal Pradesh,buffalo,rural,192,12,807,40,0,87,1138,119537,113285,273448,72145,16749,2032,597196,638442
ut_1,Jammu And Kashmir,buffalo,rural,456,40,454,36,5,4,995,151561,92506,283624,93220,16457,5443,642811,685031
state_20,Jharkhand,buffalo,rural,12234,1658,12125,1373,451,781,28622,187459,164638,243977,115474,28429,12359,752336,1286336
state_29,Karnataka,buffalo,rural,16106,2458,44656,3044,3356,1257,70877,628855,427095,1049608,390496,76096,13607,2585757,2734966
state_32,Kerala,buffalo,rural,683,45,12,15,19,108,882,3880,5205,4591,1313,551,282,15822,92428
ut_31,Lakshadweep,buffalo,rural,0,0,0,0,0,0,0,2,8,5,1,0,0,16,16
state_23,Madhya Pradesh,buffalo,rural,50407,7522,45612,3627,3320,3757,114245,2257070,1577591,3272982,1397004,255021,83234,8842902,9778281
state_27,Maharashtra,buffalo,rural,14058,3467,43975,4033,6272,1681,73486,1023536,828438,2213915,745583,91653,32688,4935813,5248528
state_14,Manipur,buffalo,rural,1244,118,1348,129,323,145,3307,4246,6029,4207,2356,1863,1076,19777,35376
state_17,Meghalaya,buffalo,rural,711,552,16,809,20,353,2461,1009,1020,1327,1208,431,445,5440,15675
state_15,Mizoram,buffalo,rural,302,142,60,116,33,48,701,129,335,126,352,75,83,1100,1813
state_13,Nagaland,buffalo,rural,501,287,303,238,104,22,1455,1439,1512,1178,503,485,287,5404,15162
state_21,Odisha,buffalo,rural,14716,1714,19154,951,1420,733,38688,52702,45234,78526,53921,8671,2735,241789,442257
ut_34,Puducherry,buffalo,rural,362,224,112,46,144,58,946,55,59,114,19,2,1,250,258
state_3,Punjab,buffalo,rural,4870,1686,652,223,564,3829,11824,721499,760961,1568112,490513,49353,9304,3599742,3767139
state_8,Rajasthan,buffalo,rural,39716,6185,2957,1023,1662,21326,72869,3190854,2492874,4597160,1793878,345092,65943,12485801,13299208
state_11,Sikkim,buffalo,rural,52,15,47,40,3,2,159,202,252,271,129,22,3,879,1142
state_33,Tamil Nadu,buffalo,rural,12341,4008,6326,2243,5902,2379,33199,91085,79114,151502,43609,10342,3160,378812,415000
state_36,Telangana,buffalo,rural,4728,1618,6893,1774,1611,911,17535,954906,695097,1370214,447361,188081,63531,3719190,4014453
ut_38,The Dadra And Nagar Haveli And Daman And Diu,buffalo,rural,295,88,250,6,22,0,661,87,64,189,53,7,0,400,595
state_16,Tripura,buffalo,rural,798,26,360,67,5,50,1306,1527,1177,1618,824,180,25,5351,7045
state_9,Uttar Pradesh,buffalo,rural,20908,2830,7622,1051,3675,2860,38946,7442691,6731567,10689366,3177847,654736,391152,29087359,31472339
