state.id,state.name,species,location_type,population.male.upto1.5years,population.male.used_for_breeding_only,population.male.used_for_agriculture_only,population.male.used_for_agriculture_and_breeding_only,population.male.used_for_bullock_cart_or_farm_operation,population.male.others,population.male.total,population.female.upto1year,population.female.1to2.5years,population.female.in_milk,population.female.dry,population.female.not_calved_once,population.female.others,population.female.total,population.total
ut_35,Andaman And Nicobar Islands,cattle(exotic/crossbred),rural,1325,245,54,96,17,31,1768,2744,2335,4986,2566,367,99,13097,14865
state_28,Andhra Pradesh,cattle(exotic/crossbred),rural,93793,11862,41409,9318,18294,5057,179733,489061,360871,829044,207790,75870,34320,1996956,2176689
state_12,Arunachal Pradesh,cattle(exotic/crossbred),rural,655,276,259,34,2,42,1268,724,813,1506,497,212,116,3868,5136
state_18,Assam,cattle(exotic/crossbred),rural,50889,16153,23464,9576,6235,7546,113863,168762,122325,201564,68945,17918,13644,593158,707021
state_10,Bihar,cattle(exotic/crossbred),rural,94550,15108,17462,9441,8017,11547,156125,1001649,684996,1372939,478611,86666,37544,3662405,3818530
ut_4,Chandigarh,cattle(exotic/crossbred),rural,114,1,0,2,3,2,122,526,265,1564,281,12,8,2656,2778
state_22,Chhattisgarh,cattle(exotic/crossbred),rural,24895,1898,21262,1117,1026,969,51167,34839,25504,58397,32673,12679,1222,165314,216481
ut_7,Delhi,cattle(exotic/crossbred),rural,8806,343,136,122,0,295,9702,11125,5712,23538,5411,1401,747,47934,57636
state_30,Goa,cattle(exotic/crossbred),rural,1103,157,87,60,9,153,1569,4438,3884,10831,3993,982,186,24314,25883
state_24,Gujarat,cattle(exotic/crossbred),rural,105269,4667,16161,2377,1619,2390,132483,646505,663951,1370042,428365,82904,9158,3200925,3333408
state_6,Haryana,cattle(exotic/crossbred),rural,55371,2910,5538,1864,4878,14386,84947,176536,138350,342411,99129,30010,10173,796609,881556
state_2,Himachal Pradesh,cattle(exotic/crossbred),rural,46632,1190,53364,2270,353,2348,106157,177583,129525,487470,121487,24031,4733,944829,1050986
ut_1,Jammu And Kashmir,cattle(exotic/crossbred),rural,142647,5303,27253,10377,1344,5257,192181,304329,159677,585064,73934,27483,11837,1162324,1354505
state_20,Jharkhand,cattle(exotic/crossbred),rural,30735,9463,16044,6838,3201,3416,69697,112790,80420,140727,40823,11547,6453,392760,462457
state_29,Karnataka,cattle(exotic/crossbred),rural,78283,5125,23928,4303,2451,2243,116333,783674,533211,1730768,447305,72541,15415,3582914,3699247
state_32,Kerala,cattle(exotic/crossbred),rural,92388,1603,1364,870,846,3276,100347,261182,191422,486702,90168,10610,6397,1046481,1146828
ut_31,Lakshadweep,cattle(exotic/crossbred),rural,99,34,37,18,2,45,235,238,234,310,126,40,13,961,1196
state_23,Madhya Pradesh,cattle(exotic/crossbred),rural,95603,9701,29192,4311,2277,2547,143631,363970,228871,533073,199434,38100,11348,1374796,1518427
state_27,Maharashtra,cattle(exotic/crossbred),rural,89841,11602,79114,10625,6704,2565,200451,808784,694239,2066171,614260,81599,28732,4293785,4494236
state_14,Manipur,cattle(exotic/crossbred),rural,471,199,50,80,70,54,924,2646,1768,3788,618,900,149,9869,10793
state_17,Meghalaya,cattle(exotic/crossbred),rural,2456,161,185,180,3,450,3435,3588,2878,19189,1853,879,674,29061,32496
state_15,Mizoram,cattle(exotic/crossbred),rural,1160,510,333,317,44,79,2443,1692,1209,3047,1121,911,165,8145,10588
state_13,Nagaland,cattle(exotic/crossbred),rural,1540,1193,849,685,149,335,4751,2444,2257,3427,1295,1250,274,10947,15698
state_21,Odisha,cattle(exotic/crossbred),rural,96343,8385,101520,5593,9441,2851,224133,335245,202326,465188,166463,34074,8999,1212295,1436428
ut_34,Puducherry,cattle(exotic/crossbred),rural,1771,117,105,18,231,43,2285,13308,11783,19858,5753,1536,693,52931,55216
state_3,Punjab,cattle(exotic/crossbred),rural,34990,1864,8887,3620,9649,3672,62682,365942,315695,968829,225967,21621,7253,1905307,1967989
state_8,Rajasthan,cattle(exotic/crossbred),rural,97257,6009,11198,4087,5268,12065,135884,480352,348033,803949,273313,52880,12573,1971100,2106984
state_11,Sikkim,cattle(exotic/crossbred),rural,10294,706,10100,2042,296,410,23848,22957,13633,38833,10466,4862,711,91462,115310
state_33,Tamil Nadu,cattle(exotic/crossbred),rural,224364,45779,51028,23113,22280,12110,378674,1679284,1218095,2695553,701565,148913,66268,6509678,6888352
state_36,Telangana,cattle(exotic/crossbred),rural,31090,5759,16448,5291,3695,2163,64446,131376,79497,217602,57404,22425,6599,514903,579349
ut_38,The Dadra And Nagar Haveli And Daman And Diu,cattle(exotic/crossbred),rural,286,31,10,13,81,30,451,147,130,415,128,7,0,827,1278
state_16,Tripura,cattle(exotic/crossbred),rural,7161,676,805,346,88,103,9179,27887,23363,30692,11619,3923,805,98289,107468
