state.id,state.name,species,location_type,population.male.upto2years,population.male.used_for_breeding_only,population.male.used_for_agriculture_only,population.male.used_for_agriculture_and_breeding_only,population.male.used_for_bullock_cart_or_farm_operation,population.male.others,population.male.total,population.female.upto1year,population.female.1to3years,population.female.in_milk,population.female.dry,population.female.not_calved_once,population.female.others,population.female.total,population.total
ut_35,Andaman And Nicobar Islands,cattle(indigenous/non-descript),rural,2459,412,2507,1415,150,122,7065.0,3375,2369,3742,2519,336,101,12442,19507
state_28,Andhra Pradesh,cattle(indigenous/non-descript),rural,190312,52798,484028,74285,95679,13826,910928.0,324912,285571,476956,184291,69450,31774,1372954,2283882
state_12,Arunachal Pradesh,cattle(indigenous/non-descript),rural,48318,13651,54550,8850,2164,10013,137546.0,44773,47321,44896,27019,16864,7552,188425,325971
state_18,Assam,cattle(indigenous/non-descript),rural,985482,254071,1467299,191867,71007,104368,3074094.0,1917360,1566363,2157574,848740,247553,167488,6905078,9979172
state_10,Bihar,cattle(indigenous/non-descript),rural,520215,102297,393853,68399,51876,36566,1173206.0,2751904,2208286,3138595,1315327,268569,146634,9829315,11002521
ut_4,Chandigarh,cattle(indigenous/non-descript),rural,73,22,5,0,46,23,169.0,85,61,143,51,7,37,384,553
state_22,Chhattisgarh,cattle(indigenous/non-descript),rural,1039968,132387,2874052,228803,113102,85850,4474162.0,874576,934393,1145084,1458007,432682,74731,4919473,9393635
ut_7,Delhi,cattle(indigenous/non-descript),rural,1982,354,72,106,0,420,2934.0,3975,3518,9195,2950,663,1483,21784,24718
state_30,Goa,cattle(indigenous/non-descript),rural,3091,1024,4729,883,183,831,10741.0,3984,3665,5987,4262,977,458,19333,30074
state_24,Gujarat,cattle(indigenous/non-descript),rural,359449,69483,1208780,59037,84546,25997,1807292.0,868440,828333,1468129,740185,123297,38449,4066833,5874125
state_6,Haryana,cattle(indigenous/non-descript),rural,75084,7092,49942,5296,52550,28794,218758.0,135891,118397,200135,97933,23328,22762,598446,817204
state_2,Himachal Pradesh,cattle(indigenous/non-descript),rural,51022,2977,273929,15076,2016,3054,348074.0,73248,53078,172541,92834,13185,3310,408196,756270
ut_1,Jammu And Kashmir,cattle(indigenous/non-descript),rural,74905,7500,139931,58678,1147,2719,284880.0,204721,117552,337100,111838,25059,8813,805083,1089963
state_20,Jharkhand,cattle(indigenous/non-descript),rural,949606,229056,2746190,285054,181379,90880,4482165.0,1489269,1370551,1785233,976463,223934,108283,5953733,10435898
state_29,Karnataka,cattle(indigenous/non-descript),rural,353923,42696,1176714,39736,47153,20672,1680894.0,589712,497717,918536,505845,148021,25881,2685712,4366606
state_32,Kerala,cattle(indigenous/non-descript),rural,9517,483,830,262,370,796,12258.0,16195,15065,22676,7951,1491,773,64151,76409
ut_31,Lakshadweep,cattle(indigenous/non-descript),rural,301,29,36,11,1,172,550.0,171,230,212,92,22,20,747,1297
state_23,Madhya Pradesh,cattle(indigenous/non-descript),rural,1271234,212277,3898467,242105,157754,65523,5847360.0,2528026,1857865,3415018,2257323,330070,137505,10525807,16373167
state_27,Maharashtra,cattle(indigenous/non-descript),rural,734202,101161,3196148,160256,474551,31138,4697456.0,966029,749394,1658832,941520,97868,43860,4457503,9154959
state_14,Manipur,cattle(indigenous/non-descript),rural,24867,5662,14409,7825,3191,6486,62440.0,32407,28854,32641,9382,9787,6960,120031,182471
state_17,Meghalaya,cattle(indigenous/non-descript),rural,117966,30572,10098,137585,5967,35116,337304.0,111308,107609,126292,96388,64671,19322,525590,862894
state_15,Mizoram,cattle(indigenous/non-descript),rural,3266,1892,1667,923,210,439,8397.0,2449,2618,3487,2807,2000,363,13724,22121
state_13,Nagaland,cattle(indigenous/non-descript),rural,10392,4011,10060,2054,889,2052,29458.0,6988,7188,6553,2247,2478,1177,26631,56089
state_21,Odisha,cattle(indigenous/non-descript),rural,810588,90412,2450756,122606,271126,42852,3788340.0,1145198,847639,1392714,781939,151082,49387,4367959,8156299
ut_34,Puducherry,cattle(indigenous/non-descript),rural,50,23,84,7,532,23,719.0,254,271,388,170,29,17,1129,1848
state_3,Punjab,cattle(indigenous/non-descript),rural,16057,2462,24408,1761,36658,3858,85204.0,56282,47376,118996,40177,8691,7586,279108,364312
state_8,Rajasthan,cattle(indigenous/non-descript),rural,698178,80645,931692,84460,54998,89165,1939138.0,2230794,1656732,3174933,1721729,275966,112788,9172942,11112080
state_11,Sikkim,cattle(indigenous/non-descript),rural,3610,545,3478,873,276,257,9039.0,5798,3976,8155,2423,583,327,21262,30301
