state.id,state.name,species,location_type,population.male.upto1year,population.male.1yearandabove,population.male.total,population.female.upto1year,population.female.in_milk,population.female.dry,population.female.not_calved_once,population.female.total,population.total
ut_35,Andaman And Nicobar Islands,goat,rural,10463,9624,20087,13693,13455,11143,1963,40254,60341
state_28,Andhra Pradesh,goat,rural,570390,597383,1167773,1262783,1573071,975148,395040,4206042,5373815
state_12,Arunachal Pradesh,goat,rural,34246,32475,66721,35066,21602,18955,11786,87409,154130
state_18,Assam,goat,rural,612055,572882,1184937,1272828,995285,569217,168394,3005724,4190661
state_10,Bihar,goat,rural,1274343,918732,2193075,4391935,3160599,2223706,401965,10178205,12371280
ut_4,Chandigarh,goat,rural,25,15,40,75,101,43,7,226,266
state_22,Chhattisgarh,goat,rural,572581,642131,1214712,746892,751233,875909,292923,2666957,3881669
ut_7,Delhi,goat,rural,3488,5307,8795,4134,6258,2826,2582,15800,24595
state_30,Goa,goat,rural,1215,1487,2702,1688,1922,1726,459,5795,8497
state_24,Gujarat,goat,rural,390754,285799,676553,1113369,1686970,976102,179690,3956131,4632684
state_6,Haryana,goat,rural,29605,16192,45797,84956,113432,58015,13034,269437,315234
state_2,Himachal Pradesh,goat,rural,126468,161386,287854,196832,235356,319843,63297,815328,1103182
ut_1,Jammu And Kashmir,goat,rural,153844,226588,380432,370734,502191,382666,85869,1341460,1721892
state_20,Jharkhand,goat,rural,1344690,1473353,2818043,2206379,1942109,1545225,356643,6050356,8868399
state_29,Karnataka,goat,rural,616995,569237,1186232,1443472,1715579,1176504,260151,4595706,5781938
state_32,Kerala,goat,rural,180379,50955,231334,448662,394732,133615,29637,1006646,1237980
ut_31,Lakshadweep,goat,rural,4185,5309,9494,12723,11163,6845,2963,33694,43188
state_23,Madhya Pradesh,goat,rural,1104798,816737,1921535,2758810,2989970,2323453,450904,8523137,10444672
state_27,Maharashtra,goat,rural,842815,462062,1304877,2860192,3567027,2162309,288281,8877809,10182686
state_14,Manipur,goat,rural,5232,8846,14078,7033,5765,3793,3527,20118,34196
state_17,Meghalaya,goat,rural,66463,73356,139819,79913,68331,56635,46972,251851,391670
state_15,Mizoram,goat,rural,2483,2829,5312,2232,2315,2111,1348,8006,13318
