state.id,state.name,population.stray_cattle.rural,population.stray_cattle.urban,population.stray_cattle.total,population.stray_dogs.rural,population.stray_dogs.urban,population.stray_dogs.total
ut_35,Andaman And Nicobar Islands,1361,98,1459,4656,644,5300
state_28,Andhra Pradesh,65166,8684,73850,380708,91176,471884
state_12,Arunachal Pradesh,582,77,659,10314,1069,11383
state_18,Assam,37192,3416,40608,202813,11085,213898
state_10,Bihar,77471,7805,85276,645900,50242,696142
ut_4,Chandigarh,574,866,1440,2316,10606,12922
state_22,Chhattisgarh,152356,32637,184993,337638,57048,394686
ut_7,Delhi,10461,1702,12163,30311,30161,60472
state_30,Goa,7266,2193,9459,18897,8967,27864
state_24,Gujarat,284242,59676,343918,772345,158825,931170
state_6,Haryana,89429,38488,127917,379506,85072,464578
state_2,Himachal Pradesh,33947,2364,36311,71253,5680,76933
ut_1,Jammu And Kashmir,11393,2471,13864,261499,47398,308897
state_20,Jharkhand,27424,5349,32773,400591,35669,436260
state_29,Karnataka,49567,27508,77075,837870,303303,1141173
state_32,Kerala,3070,559,3629,227019,62967,289986
ut_31,Lakshadweep,0,0,0,0,0,0
state_23,Madhya Pradesh,757356,96615,853971,854771,154305,1009076
state_27,Maharashtra,95404,57161,152565,787212,489187,1276399
state_14,Manipur,2,0,2,0,0,0
state_17,Meghalaya,2281,63,2344,7787,2866,10653
state_15,Mizoram,61,9,70,58,11,69
state_13,Nagaland,115,0,115,334,8,342
state_21,Odisha,134585,17118,151703,1674657,59742,1734399
ut_34,Puducherry,0,67,67,9054,10633,19687
state_3,Punjab,108597,31472,140069,220703,69921,290624
state_8,Rajasthan,1154225,118052,1272277,1128686,146910,1275596
state_11,Sikkim,141,16,157,9695,1000,10695
state_33,Tamil Nadu,30992,20158,51150,295766,145442,441208
state_36,Telangana,28571,7795,36366,327113,65819,392932
ut_38,The Dadra And Nagar Haveli And Daman And Diu,1042,254,1296,1916,1248,3164
state_16,Tripura,2475,886,3361,13480,3598,17078
state_9,Uttar Pradesh,1078673,105821,1184494,1841186,218075,2059261
state_5,Uttarakhand,18848,8605,27453,52333,32126,84459
state_19,West Bengal,84004,14729,98733,981380,158785,1140165
