state.id,state.name,population.livestock.rural,population.poultry.rural,population.livestock.urban,population.poultry.urban,population.livestock.total,population.poultry.total
ut_35,Andaman And Nicobar Islands,137851,1241182,7543,47978,145394,1289160
state_28,Andhra Pradesh,33142962,101614386,924654,6248766,34067616,107863152
state_12,Arunachal Pradesh,1126620,1489612,34808,109963,1161428,1599575
state_18,Assam,17662876,45668840,429325,1043501,18092201,46712341
state_10,Bihar,35297518,15897409,1243302,627940,36540820,16525349
ut_4,Chandigarh,9221,12306,17769,36577,26990,48883
state_22,Chhattisgarh,15281955,18099279,590347,612545,15872302,18711824
ut_7,Delhi,329635,37332,30762,6499,360397,43831
state_30,Goa,121480,336469,10926,13074,132406,349543
state_24,Gujarat,25804804,21058014,1088470,715378,26893274,21773392
state_6,Haryana,6533653,44804495,512438,1490470,7046091,46294965
state_2,Himachal Pradesh,4376116,1336004,36730,5947,4412846,1341951
ut_1,Jammu And Kashmir,8143046,7068535,182278,297773,8325324,7366308
state_20,Jharkhand,22934489,24283221,680056,549685,23614545,24832906
state_29,Karnataka,27299918,57247613,1713494,2246868,29013412,59494481
state_32,Kerala,2652756,27563146,255901,2208759,2908657,29771905
ut_31,Lakshadweep,45697,226025,0,0,45697,226025
state_23,Madhya Pradesh,38552360,15510979,2085015,1148919,40637375,16659898
state_27,Maharashtra,31865210,72779540,1214608,1518225,33079818,74297765
state_14,Manipur,472294,4636781,78425,1260856,550719,5897637
state_17,Meghalaya,2005372,5179252,33731,200280,2039103,5379532
state_15,Mizoram,224264,1310814,135440,736996,359704,2047810
state_13,Nagaland,481710,2400500,72093,438444,553803,2838944
state_21,Odisha,17668586,26834780,501723,604477,18170309,27439257
ut_34,Puducherry,117456,148413,33912,87586,151368,235999
state_3,Punjab,6558916,16884427,491439,765557,7050355,17649984
state_8,Rajasthan,54941353,13654787,1859592,968188,56800945,14622975
state_11,Sikkim,269526,572296,4806,8568,274332,580864
state_33,Tamil Nadu,22038627,111870459,2461994,8910641,24500621,120781100
state_36,Telangana,31609366,75847426,1031273,4151978,32640639,79999404
ut_38,The Dadra And Nagar Haveli And Daman And Diu,49144,102904,2544,5031,51688,107935
state_16,Tripura,1265410,3887504,52482,280742,1317892,4168246
state_9,Uttar Pradesh,64387024,12040741,3625921,474963,68012945,12515704
state_5,Uttarakhand,4189155,4663577,237934,355107,4427089,5018684
state_19,West Bengal,36514369,75888715,968869,1433887,37483238,77322602
