metadata.vaccinationRound,state.name,state.ID,district.name,district.ID,totalVaccinations.count,farmersBenefited.count
1,Andaman And Nicobar Islands,ut_35,South Andamans,district_602,8312,2016
2,Andaman And Nicobar Islands,ut_35,South Andamans,district_602,8574,1910
3,Andaman And Nicobar Islands,ut_35,South Andamans,district_602,5809,1169
4,Andaman And Nicobar Islands,ut_35,South Andamans,district_602,7712,1393
5,Andaman And Nicobar Islands,ut_35,South Andamans,district_602,8110,1449
1,Andhra Pradesh,state_28,Prakasam,district_517,646582,136613
1,Andhra Pradesh,state_28,Alluri Sitharama Raju,district_745,593815,100150
1,Andhra Pradesh,state_28,Sri Potti Sriramulu Nellore,district_515,566310,108693
1,Andhra Pradesh,state_28,Eluru,district_748,547490,100059
1,Andhra Pradesh,state_28,Chittoor,district_503,459445,172671
1,Andhra Pradesh,state_28,Palnadu,district_751,437973,117588
1,Andhra Pradesh,state_28,Tirupati,district_752,433685,95831
1,Andhra Pradesh,state_28,Srikakulam,district_519,427043,174062
1,Andhra Pradesh,state_28,Vizianagaram,district_521,422958,160893
1,Andhra Pradesh,state_28,Anakapalli,district_744,386787,161021
1,Andhra Pradesh,state_28,Y.S.R.,district_504,352173,90453
1,Andhra Pradesh,state_28,Bapatla,district_750,336355,93832
1,Andhra Pradesh,state_28,Nandyal,district_755,327572,75180
1,Andhra Pradesh,state_28,Annamayya,district_753,323134,99838
1,Andhra Pradesh,state_28,Kakinada,district_746,302041,86078
1,Andhra Pradesh,state_28,Ananthapuramu,district_502,294519,81542
1,Andhra Pradesh,state_28,Kurnool,district_511,274683,80508
1,Andhra Pradesh,state_28,Sri Sathya Sai,district_754,269697,87821
1,Andhra Pradesh,state_28,Krishna,district_510,266684,72983
1,Andhra Pradesh,state_28,East Godavari,district_505,249905,48309
1,Andhra Pradesh,state_28,Parvathipuram Manyam,district_743,240619,67463
1,Andhra Pradesh,state_28,Ntr,district_749,226005,54089
1,Andhra Pradesh,state_28,West Godavari,district_523,196935,60322
1,Andhra Pradesh,state_28,Dr. B.R. Ambedkar Konaseema,district_747,194966,67556
1,Andhra Pradesh,state_28,Guntur,district_506,186897,55646
1,Andhra Pradesh,state_28,Visakhapatnam,district_520,66428,21139
2,Andhra Pradesh,state_28,Prakasam,district_517,804089,117769
2,Andhra Pradesh,state_28,Sri Potti Sriramulu Nellore,district_515,653548,88821
2,Andhra Pradesh,state_28,Chittoor,district_503,600257,164338
2,Andhra Pradesh,state_28,Srikakulam,district_519,586633,156897
2,Andhra Pradesh,state_28,Alluri Sitharama Raju,district_745,580571,98053
2,Andhra Pradesh,state_28,Vizianagaram,district_521,527671,137532
2,Andhra Pradesh,state_28,Eluru,district_748,479223,88263
2,Andhra Pradesh,state_28,Y.S.R.,district_504,474845,85185
2,Andhra Pradesh,state_28,Ananthapuramu,district_502,442104,83380
2,Andhra Pradesh,state_28,Kurnool,district_511,441758,84039
2,Andhra Pradesh,state_28,Tirupati,district_752,391898,87584
2,Andhra Pradesh,state_28,Palnadu,district_751,376587,102241
2,Andhra Pradesh,state_28,Krishna,district_510,367588,65634
2,Andhra Pradesh,state_28,East Godavari,district_505,353956,44687
2,Andhra Pradesh,state_28,Anakapalli,district_744,340818,134396
2,Andhra Pradesh,state_28,Nandyal,district_755,336445,74730
2,Andhra Pradesh,state_28,Annamayya,district_753,307651,96732
2,Andhra Pradesh,state_28,Bapatla,district_750,306274,83932
2,Andhra Pradesh,state_28,Kakinada,district_746,291134,81105
2,Andhra Pradesh,state_28,Sri Sathya Sai,district_754,265835,89507
2,Andhra Pradesh,state_28,West Godavari,district_523,261543,55918
2,Andhra Pradesh,state_28,Guntur,district_506,249114,50262
2,Andhra Pradesh,state_28,Parvathipuram Manyam,district_743,197724,56106
2,Andhra Pradesh,state_28,Dr. B.R. Ambedkar Konaseema,district_747,194626,62229
2,Andhra Pradesh,state_28,Ntr,district_749,159246,40728
2,Andhra Pradesh,state_28,Visakhapatnam,district_520,89776,18102
3,Andhra Pradesh,state_28,Prakasam,district_517,625982,129502
3,Andhra Pradesh,state_28,Alluri Sitharama Raju,district_745,576284,98025
3,Andhra Pradesh,state_28,Sri Potti Sriramulu Nellore,district_515,550278,104197
3,Andhra Pradesh,state_28,Eluru,district_748,534964,96437
3,Andhra Pradesh,state_28,Chittoor,district_503,474367,192989
3,Andhra Pradesh,state_28,Tirupati,district_752,441822,102348
3,Andhra Pradesh,state_28,Palnadu,district_751,429351,114493
3,Andhra Pradesh,state_28,Srikakulam,district_519,409949,165345
3,Andhra Pradesh,state_28,Vizianagaram,district_521,400328,150129
3,Andhra Pradesh,state_28,Nandyal,district_755,361429,78222
3,Andhra Pradesh,state_28,Ananthapuramu,district_502,359687,91618
3,Andhra Pradesh,state_28,Y.S.R.,district_504,358873,89348
3,Andhra Pradesh,state_28,Annamayya,district_753,339096,102992
3,Andhra Pradesh,state_28,Bapatla,district_750,329756,87860
3,Andhra Pradesh,state_28,Anakapalli,district_744,329713,134336
3,Andhra Pradesh,state_28,Kurnool,district_511,304607,85935
3,Andhra Pradesh,state_28,Kakinada,district_746,299199,83576
3,Andhra Pradesh,state_28,Sri Sathya Sai,district_754,298446,96989
3,Andhra Pradesh,state_28,Krishna,district_510,273813,71628
3,Andhra Pradesh,state_28,East Godavari,district_505,235795,44974
3,Andhra Pradesh,state_28,Parvathipuram Manyam,district_743,230478,62505
3,Andhra Pradesh,state_28,Ntr,district_749,209479,50485
3,Andhra Pradesh,state_28,Dr. B.R. Ambedkar Konaseema,district_747,191721,62410
3,Andhra Pradesh,state_28,West Godavari,district_523,189058,57880
3,Andhra Pradesh,state_28,Guntur,district_506,175424,52292
3,Andhra Pradesh,state_28,Visakhapatnam,district_520,58608,17735
4,Andhra Pradesh,state_28,Prakasam,district_517,570522,100558
4,Andhra Pradesh,state_28,Alluri Sitharama Raju,district_745,540594,86208
4,Andhra Pradesh,state_28,Sri Potti Sriramulu Nellore,district_515,533025,79654
4,Andhra Pradesh,state_28,Eluru,district_748,507163,75665
4,Andhra Pradesh,state_28,Chittoor,district_503,445497,151079
4,Andhra Pradesh,state_28,Tirupati,district_752,432179,83300
4,Andhra Pradesh,state_28,Palnadu,district_751,392258,81030
4,Andhra Pradesh,state_28,Srikakulam,district_519,383317,134869
4,Andhra Pradesh,state_28,Vizianagaram,district_521,372505,119898
4,Andhra Pradesh,state_28,Nandyal,district_755,357550,67216
4,Andhra Pradesh,state_28,Y.S.R.,district_504,355550,73548
4,Andhra Pradesh,state_28,Ananthapuramu,district_502,324732,76330
4,Andhra Pradesh,state_28,Anakapalli,district_744,309482,103494
4,Andhra Pradesh,state_28,Annamayya,district_753,307998,83012
4,Andhra Pradesh,state_28,Bapatla,district_750,305624,64233
4,Andhra Pradesh,state_28,Kurnool,district_511,294261,73725
4,Andhra Pradesh,state_28,Sri Sathya Sai,district_754,285394,78218
4,Andhra Pradesh,state_28,Kakinada,district_746,281278,65968
4,Andhra Pradesh,state_28,Krishna,district_510,249211,54063
4,Andhra Pradesh,state_28,East Godavari,district_505,228678,35119
4,Andhra Pradesh,state_28,Parvathipuram Manyam,district_743,217731,52344
4,Andhra Pradesh,state_28,Ntr,district_749,200095,40230
4,Andhra Pradesh,state_28,Dr. B.R. Ambedkar Konaseema,district_747,183745,50225
4,Andhra Pradesh,state_28,West Godavari,district_523,171320,42648
4,Andhra Pradesh,state_28,Guntur,district_506,164947,37108
4,Andhra Pradesh,state_28,Visakhapatnam,district_520,51357,12193
5,Andhra Pradesh,state_28,Prakasam,district_517,624490,97183
5,Andhra Pradesh,state_28,Alluri Sitharama Raju,district_745,575813,81652
5,Andhra Pradesh,state_28,Eluru,district_748,570160,78068
5,Andhra Pradesh,state_28,Sri Potti Sriramulu Nellore,district_515,558112,76542
5,Andhra Pradesh,state_28,Chittoor,district_503,484021,153765
5,Andhra Pradesh,state_28,Tirupati,district_752,436123,78419
