metadata.year,metadata.diseaseName,metadata.round,metadata.program,state.name,state.ID,prevac.sample,prevac.positive.O.pct,prevac.positive.A.pct,prevac.positive.asia1.pct,postvac.positive.asia1.pct,postvac.sample,postvac.positive.O.pct,postvac.positive.A.pct
2011,FOOT AND MOUTH DISEASE,12.0,FMDCP,Maharashtra,state_27,5988.0,28.2,15.7,6.4,38.4,6018.0,72.9,51.2
2011,FOOT AND MOUTH DISEASE,8.0,FMDCP,Delhi,ut_7,100.0,92.0,66.0,83.0,98.0,100.0,100.0,86.0
2011,FOOT AND MOUTH DISEASE,7.0,FMDCP,Delhi,ut_7,50.0,78.0,66.0,50.0,82.0,50.0,88.0,86.0
2011,FOOT AND MOUTH DISEASE,1.0,FMDCP,Karnataka,state_29,4587.0,40.0,15.0,9.0,24.5,4266.0,56.0,40.0
2011,FOOT AND MOUTH DISEASE,12.0,FMDCP,Andhrapradesh-Telangana,,3600.0,29.0,18.0,13.1,47.5,3600.0,66.5,56.4
2011,FOOT AND MOUTH DISEASE,2.0,FMDCP,Haryana,state_6,2586.0,41.8,38.1,28.1,60.2,2594.0,73.5,73.4
2011,FOOT AND MOUTH DISEASE,1.0,FMDCP,Haryana,state_6,2587.0,42.7,32.4,29.7,61.6,2573.0,76.9,69.8
2011,FOOT AND MOUTH DISEASE,9.0,FMDCP,Tamil Nadu,state_33,5440.0,34.2,24.8,20.5,40.6,5440.0,62.8,47.1
2011,FOOT AND MOUTH DISEASE,13.0,FMDCP,Gujarat,state_24,2007.0,29.4,20.3,33.4,49.8,2029.0,49.7,38.6
2012,FOOT AND MOUTH DISEASE,11.0,FMDCP,Punjab,state_3,1800.0,44.3,39.1,34.2,48.6,1800.0,54.3,45.8
2012,FOOT AND MOUTH DISEASE,12.0,FMDCP,Kerala,state_32,676.0,12.4,15.5,9.6,34.0,180.0,36.1,36.1
2012,FOOT AND MOUTH DISEASE,12.0,FMDCP,Punjab,state_3,1800.0,55.6,50.1,50.2,NT,1782.0,61.5,54.8
2012,FOOT AND MOUTH DISEASE,2.0,FMDCP,Karnataka,state_29,5401.0,50.0,27.0,39.0,51.0,4632.0,67.0,47.0
2012,FOOT AND MOUTH DISEASE,3.0,FMDCP,Karnataka,state_29,3864.0,54.8,29.2,61.5,70.2,3075.0,60.3,41.8
