metadata.diseaseName,metadata.year,state.name,state.ID,sero.sample,sero.positive.pct,sero.test,sero.cattle.sample,sero.cattle.positive.pct,sero.buffalo.sample,sero.buffalo.positive.pct
FOOT AND MOUTH DISEASE,2013,Karnataka,state_29,2991.0,21.1,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Tamil Nadu,state_33,3050.0,20.0,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Madhya Pradesh,state_23,4558.0,29.3,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Gujarat,state_24,2500.0,60.5,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Andhra Pradesh,state_28,2186.0,42.8,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Kerala,state_32,1260.0,44.4,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Rajasthan,state_8,5600.0,37.4,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Himachal Pradesh,state_2,1200.0,12.8,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Uttar Pradesh,state_9,1023.0,56.4,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Uttarakhand,state_5,447.0,32.0,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Haryana,state_6,4200.0,2.1,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Jharkhand,state_20,556.0,33.8,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Odisha,state_21,3326.0,41.5,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Andaman And Nicobar Islands,ut_35,1139.0,9.2,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Tripura,state_16,1146.0,8.3,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Nagaland,state_13,3027.0,32.28,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Mizoram,state_15,550.0,7.45,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Manipur,state_14,900.0,28.3,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Arunachal Pradesh,state_12,891.0,28.84,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Assam,state_18,2600.0,17.7,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Delhi,ut_7,200.0,5.0,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Punjab,state_3,1900.0,12.1,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Jammu And Kashmir,ut_1,1401.0,18.6,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Maharashtra,state_27,2962.0,48.4,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,West Bengal,state_19,360.0,32.5,DIVA,,,,
FOOT AND MOUTH DISEASE,2013,Bihar,state_10,2251.0,36.4,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Andhra Pradesh,state_28,4400.0,30.5,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Gujarat,state_24,5000.0,17.56,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Odisha,state_21,3191.0,33.15,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Chhattisgarh,state_22,248.0,63.71,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Rajasthan,state_8,6147.0,26.58,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Madhya Pradesh,state_23,8430.0,25.67,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Arunachal Pradesh,state_12,85.0,14.12,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Assam,state_18,2258.0,19.35,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Punjab,state_3,1900.0,9.73,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Jammu And Kashmir,ut_1,1260.0,30.39,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Himachal Pradesh,state_2,2400.0,13.42,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Uttar Pradesh,state_9,1959.0,45.89,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Uttarakhand,state_5,990.0,41.21,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Manipur,state_14,1800.0,13.0,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Haryana,state_6,3810.0,5.51,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Karnataka,state_29,6002.0,33.22,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Kerala,state_32,1981.0,6.87,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Tamil Nadu,state_33,6400.0,24.26,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Andaman And Nicobar Islands,ut_35,540.0,5.0,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Bihar,state_10,540.0,34.81,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,West Bengal,state_19,1038.0,17.73,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Maharashtra,state_27,4217.0,28.26,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Nagaland,state_13,887.0,33.7,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Mizoram,state_15,1710.0,9.76,DIVA,,,,
FOOT AND MOUTH DISEASE,2014,Tripura,state_16,1755.0,4.27,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Arunachal Pradesh,state_12,708.0,47.18,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Rajasthan,state_8,2700.0,38.11,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Andaman And Nicobar Islands,ut_35,420.0,2.14,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Tripura,state_16,1146.0,3.75,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Mizoram,state_15,800.0,6.88,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Odisha,state_21,4103.0,19.3,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Haryana,state_6,2100.0,9.0,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Uttarakhand,state_5,956.0,32.85,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Uttar Pradesh,state_9,8050.0,18.86,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Himachal Pradesh,state_2,2400.0,10.88,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Gujarat,state_24,4180.0,39.64,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Maharashtra,state_27,1389.0,20.37,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,West Bengal,state_19,4023.0,17.3,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Assam,state_18,2965.0,16.69,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Punjab,state_3,3744.0,9.08,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Jammu And Kashmir,ut_1,1600.0,27.38,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Madhya Pradesh,state_23,7823.0,20.34,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Telangana,state_36,1800.0,33.78,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Karnataka,state_29,6006.0,34.15,DIVA,,,,
FOOT AND MOUTH DISEASE,2015,Tamil Nadu,state_33,6400.0,27.23,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Assam,state_18,870.0,37.1,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Madhya Pradesh,state_23,9484.0,20.3,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Rajasthan,state_8,2340.0,35.73,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Gujarat,state_24,2800.0,20.86,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Maharashtra,state_27,4467.0,25.88,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Manipur,state_14,1800.0,12.6,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Mizoram,state_15,760.0,14.2,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Tripura,state_16,900.0,3.1,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Andaman And Nicobar Islands,ut_35,939.0,0.9,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Uttar Pradesh,state_9,9040.0,15.8,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Himachal Pradesh,state_2,1598.0,8.2,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Punjab,state_3,2021.0,9.9,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Telangana,state_36,1800.0,9.0,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Andhra Pradesh,state_28,2600.0,22.5,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Karnataka,state_29,5973.0,30.8,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Tamil Nadu,state_33,6000.0,27.7,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Kerala,state_32,2520.0,17.5,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,West Bengal,state_19,2492.0,33.7,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Odisha,state_21,1721.0,33.6,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Haryana,state_6,217.0,57.6,DIVA,,,,
FOOT AND MOUTH DISEASE,2016,Uttarakhand,state_5,599.0,14.0,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,Maharashtra,state_27,2807.0,5.9,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,West Bengal,state_19,525.0,31.0,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,Tamil Nadu,state_33,6400.0,25.3,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,Telangana,state_36,900.0,1.6,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,Rajasthan,state_8,3510.0,28.6,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,Madhya Pradesh,state_23,10142.0,18.0,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,Himachal Pradesh,state_2,2210.0,26.7,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,Uttar Pradesh,state_9,2510.0,10.0,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,Andaman And Nicobar Islands,ut_35,463.0,1.3,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,Mizoram,state_15,800.0,9.9,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,Manipur,state_14,1800.0,13.0,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,Assam,state_18,1726.0,19.0,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,Punjab,state_3,2044.0,9.5,DIVA,,,,
FOOT AND MOUTH DISEASE,2017,Jammu And Kashmir,ut_1,1710.0,18.4,DIVA,,,,
